Overcooked! 2,https://ec.nintendo.com/HK/zh/titles/70010000033098,× 1 ～ 4,HKD 196,HKD 49
Little Nightmares Complete Edition,https://ec.nintendo.com/HK/zh/titles/70010000009448,× 1,HKD 199,HKD 48
《NBA 2K22》,https://ec.nintendo.com/HK/zh/titles/70010000041052,× 1 ～ 4,HKD 468,HKD 74
Moving Out,https://ec.nintendo.com/HK/zh/titles/70010000029910,× 1 ～ 4,HKD 193,HKD 48
FIFA 22 Nintendo Switch™ Legacy Edition,https://ec.nintendo.com/HK/zh/titles/70010000038673,× 1 ～ 4,HKD 319,HKD 79
火影忍者疾風傳 終極風暴4 慕留人傳,https://ec.nintendo.com/HK/zh/titles/70010000016050,× 1 ～ 2,HKD 399,HKD 148
Spiritfarer®,https://ec.nintendo.com/HK/zh/titles/70010000020666,× 1 ～ 2,HKD 129,HKD 42
Moto Rush GT,https://ec.nintendo.com/HK/zh/titles/70010000035529,× 1,HKD 120,HKD 10
移探救境 Georifters,https://ec.nintendo.com/HK/zh/titles/70010000031312,× 1 ～ 4,HKD 230,HKD 10
《Unravel Two》,https://ec.nintendo.com/HK/zh/titles/70010000015567,× 1 ～ 2,HKD 239,HKD 40
Lacuna,https://ec.nintendo.com/HK/zh/titles/70010000048599,× 1,HKD 75,HKD 15
Dragon's Dogma: Dark Arisen,https://ec.nintendo.com/HK/zh/titles/70010000018691,× 1,HKD 228,HKD 75
《Just Dance 舞力全開 2022》- 豪華版 (Just Dance 2022 Deluxe Edition),https://ec.nintendo.com/HK/zh/bundles/70070000013208,× 1 ～ 6,HKD 463,HKD 208
Encodya,https://ec.nintendo.com/HK/zh/titles/70010000040676,× 1,HKD 120,HKD 12
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,× 1,HKD 468,HKD 238
《極速快感™超熱力追緝》重製版 (Need for Speed™ Hot Pursuit Remastered),https://ec.nintendo.com/HK/zh/titles/70010000029277,× 1,HKD 319,HKD 63
ONE PIECE 海賊無雙4,https://ec.nintendo.com/HK/zh/titles/70010000018442,× 1 ～ 2,HKD 509,HKD 188
太鼓之達人 Nintendo Switch版！,https://ec.nintendo.com/HK/zh/titles/70010000011790,× 1 ～ 4,HKD 429,HKD 198
Figment,https://ec.nintendo.com/HK/zh/titles/70010000039725,× 1,HKD 149,HKD 14
一起五子棋,https://ec.nintendo.com/HK/zh/titles/70010000048412,× 1 ～ 2,HKD 22,HKD 15
Resident Evil 6,https://ec.nintendo.com/HK/zh/titles/70010000015879,× 1 ～ 2,HKD 156,HKD 78
宵星傳奇 REMASTER,https://ec.nintendo.com/HK/zh/titles/70010000013581,× 1 ～ 4,HKD 399,HKD 88
《暗黑破壞神®》萬惡之源珍藏組合,https://ec.nintendo.com/HK/zh/bundles/70070000012643,,HKD 469,HKD 281
《暗黑破壞神®II：獄火重生™》（Diablo® II: Resurrected™）,https://ec.nintendo.com/HK/zh/titles/70010000038817,× 1,HKD 311,HKD 186
