忍者龜：許瑞德的復仇 (Teenage Mutant Ninja Turtles: Shredder's Revenge),https://ec.nintendo.com/HK/zh/titles/70010000052146,1,4,HKD 198,HKD 178
FIFA 22 Nintendo Switch™ Legacy Edition,https://ec.nintendo.com/HK/zh/titles/70010000038673,1,4,HKD 319,HKD 79
Little Nightmares Complete Edition,https://ec.nintendo.com/HK/zh/titles/70010000009448,1,1,HKD 199,HKD 48
火影忍者疾風傳 終極風暴4 慕留人傳,https://ec.nintendo.com/HK/zh/titles/70010000016050,1,2,HKD 399,HKD 148
《Unravel Two》,https://ec.nintendo.com/HK/zh/titles/70010000015567,1,2,HKD 239,HKD 40
《Just Dance 舞力全開 2022》- 豪華版 (Just Dance 2022 Deluxe Edition),https://ec.nintendo.com/HK/zh/bundles/70070000013208,1,6,HKD 463,HKD 208
《極速快感™超熱力追緝》重製版 (Need for Speed™ Hot Pursuit Remastered),https://ec.nintendo.com/HK/zh/titles/70010000029277,1,1,HKD 319,HKD 63
Moto Rush GT,https://ec.nintendo.com/HK/zh/titles/70010000035529,1,1,HKD 120,HKD 10
太鼓之達人 Nintendo Switch版！,https://ec.nintendo.com/HK/zh/titles/70010000011790,1,4,HKD 429,HKD 198
哆啦A夢 牧場物語,https://ec.nintendo.com/HK/zh/titles/70010000019943,1,1,HKD 419,HKD 98
Encodya,https://ec.nintendo.com/HK/zh/titles/70010000040676,1,1,HKD 120,HKD 12
Overcooked! 2 - Gourmet Edition,https://ec.nintendo.com/HK/zh/bundles/70070000010913,1,4,HKD 354,HKD 88
KAMEN RIDER 巔峰亂鬥,https://ec.nintendo.com/HK/zh/titles/70010000015172,1,4,HKD 449,HKD 48
Figment,https://ec.nintendo.com/HK/zh/titles/70010000039725,1,1,HKD 149,HKD 14
MONSTER HUNTER RISE,https://ec.nintendo.com/HK/zh/titles/70010000029013,1,1,HKD 468,HKD 238
Lacuna,https://ec.nintendo.com/HK/zh/titles/70010000048599,1,1,HKD 75,HKD 15
超級機器人大戰Ｔ,https://ec.nintendo.com/HK/zh/titles/70010000015667,1,1,HKD 559,HKD 148
